,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Foam,Gel,Liquid,Lotion,Oil,20s,30s,40s,50+,Under20
97,4.4,SATURDAY SKIN-Waterfall Glacier Water Cream,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1
98,4.4,GIVENCHY-Ressource Soothing Moisturizing Treatment Lotion,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1
99,4.4,HEURE-Ageless Night Treatment Moisturiser,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
100,2.0,CHARLOTTE TILBURY-Refillable Magic Night Cream,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
101,4.2,CLINIQUE-Smart Clinical Repair Wrinkle Correcting Cream,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
102,4.1,PIXI-Rose Ceramide Cream,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
103,4.1,SUNDAY RILEY-Ice Ceramide Moisturizing Cream,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
104,3.5,PIXI-Retinol Jasmine Lotion,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1
105,4.4,CAUDALIE-Resveratrol-Lift Firming Night Cream,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
106,4.9,ALLIES OF SKIN-Peptides & Antioxidants Firming Daily Treatment,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0
107,4.4,TALIKA-Skintelligence Hydra - Intense Hydrating Rich Cream,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
108,4.4,KENZOKI-Youth Flow Dream Night Mask,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
109,4.4,ALLIES OF SKIN-Molecular Barrier Recovery Cream Balm,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
110,4.4,STARSKIN-Orglamic™ Pink Cactus Pudding Moisturiser,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1
111,3.9,CAUDALIE-Vinopure Skin Perfecting Mattifying Moisturizer,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1
112,4.4,PETER THOMAS ROTH-Vital-E Microbiome Age Defense Cream,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
113,4.4,DERMALOGICA-Calm Water Gel,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
114,4.5,DERMALOGICA-Intensive Moisture Balance Moisturizer,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
115,4.6,DERMALOGICA-Skin Smoothing Moisturizer Cream,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
116,4.6,DERMALOGICA-Active Moist 2.0 Moisturizer,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1
117,3.5,EVE LOM-Moisture Cream,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
118,1.0,KENZOKI-Hydration Flow Short Night Sleeping Mask,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
119,4.4,KENZOKI-Hydration Flow Moisturizing Skin Guardian - Combination To Oily Skin,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
120,4.5,KORA ORGANICS BY MIRANDA KERR-Turmeric Glow Moisturizer Refill Pod,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
121,4.4,DRGL-Moisturiser Collagen Boost Duo,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
122,5.0,LAB SERIES-Daily Rescue Energizing Gel Cream,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
123,4.3,LIXIRSKIN-Universal Emulsion,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
124,3.7,PETER THOMAS ROTH-Potent-C Bright & Plump Moisturizer,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
125,4.4,SULWHASOO-Concentrated Ginseng Renewing Emulsion EX,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
126,4.4,SULWHASOO-Concentrated Ginseng Renewing Cream EX,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
127,5.0,CHARLOTTE TILBURY-Magic Night Cream Refill,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
128,4.4,CLE DE PEAU-Volumizing Cream Supreme,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
129,4.0,GUERLAIN-Midnight Secret 15ml,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
130,3.7,INNISFREE-Jeju Orchid Enriched Cream,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
131,5.0,WEI-Five Sacred Grains Rapid Glow Liquid Milk Moisturiser,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1
132,4.4,AMUSE-Phytoncica™ Eco Ceramide Cream,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
133,4.4,CLE DE PEAU-Intensive Fortifying Emulsion,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
134,4.4,CLE DE PEAU-The Cream Refill,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
135,4.4,BOBBI BROWN-Hydrating Water Fresh Cream Moisturiser,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1
136,4.4,SHISEIDO-Benefiance Wrinkle Smoothing Cream,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
